CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
0.0111652,-0.0045,-0.0097,1.8894,12.8,25.4067,24.4394,23.4999,22.9553,22.8185
0.686915,-0.0045,-0.0152,0.9316,4.2,25.8368,25.4361,24.6306,24.2257,23.8035
0.0215406,-0.005,-0.009,2.2705,32.0,23.9255,23.0726,22.2144,21.9044,21.7561
0.544113,-0.0066,0.0045,0.7649,3.6,24.6384,24.5505,24.661,24.4353,24.3083
0.0867434,-0.0049,-0.0449,0.9903,5.4,25.1838,24.8641,24.5742,23.9805,24.4079
0.459089,-0.0037,-0.0411,3.8843,4.6,,25.5045,,24.6414,
0.045639,-0.0015,-0.0319,1.3793,8.0,25.7373,25.0874,24.2996,23.5259,23.3404
0.0281078,-0.0027,-0.0067,1.6413,6.4,25.0472,24.6684,24.4328,23.6706,23.4942
0.00239566,-0.0018,-0.0336,3.3776,16.5,24.1825,23.4648,22.8426,22.6461,22.2634
0.0132365,-0.0006,-0.0025,2.116,14.2,24.3008,23.9885,23.3877,22.8966,22.7727
0.656482,-0.0039,0.0108,0.5353,3.6,24.9961,24.6223,24.6102,24.3558,24.1921
0.00855059,-0.0047,0.009,2.0055,14.2,25.6883,24.7872,23.7574,22.7569,22.1195
0.0213529,0.0036,0.0022,1.5025,3.2,25.2047,24.7749,24.664,24.5712,24.6634
0.368562,-0.0039,-0.0399,0.6022,2.8,26.0369,25.0188,24.7723,24.634,24.7057
0.1325,-0.0035,-0.0129,1.0842,10.1,24.6879,24.3903,23.6058,23.2159,23.1432
0.0957783,-0.0051,-0.0138,0.833,4.7,26.0964,25.4316,24.7916,24.0478,23.9953
0.507905,-0.0037,-0.021,0.4835,4.3,25.4844,25.3658,25.0643,24.2218,23.5471
0.00749049,-0.0054,-0.0115,2.2567,11.3,24.2342,23.7698,23.1638,23.1311,23.1024
0.0094744,-0.0048,-0.0082,2.3894,14.3,25.9485,25.1652,23.9461,22.8378,22.1322
0.982332,-0.0049,-0.0094,0.0,43.2,22.8794,22.0216,21.7227,21.5567,21.4919
0.654304,-0.0073,-0.0531,0.6585,3.2,,,26.2409,24.6404,23.4111
0.978797,-0.0025,-0.0012,0.0,102.3,26.7607,23.4188,22.049,20.5858,20.0125
0.83484,-0.0034,-0.0361,0.3919,6.2,,25.5542,24.7337,23.8814,23.4819
0.0114514,0.0011,-0.0024,1.032,2.8,26.868,25.9481,25.1711,24.6531,24.3167
0.971812,-0.0073,-0.0542,0.0,37.5,26.4728,25.2016,23.8591,21.7011,20.8223
0.361112,-0.0032,-0.0076,0.6917,2.7,25.7069,25.6523,25.2996,24.607,23.8096
0.0242194,-0.0016,-0.0314,2.0836,4.7,24.5288,24.2823,24.3008,24.2839,23.6216
0.010581,-0.0055,-0.0115,1.4084,3.5,26.6974,25.2629,24.5573,24.5921,25.258
0.79674,-0.0051,-0.0092,0.4725,3.9,,26.4394,25.0826,24.2982,23.8092
0.0213409,-0.005,-0.0156,2.6071,13.8,,25.5393,24.1373,22.6178,21.9611
0.157486,-0.005,-0.0093,1.3507,6.0,25.2969,24.4158,23.9589,23.868,23.7529
0.100124,-0.0067,-0.0109,1.5883,5.1,24.8602,24.4625,24.3113,24.2006,24.1311
0.0193263,-0.0028,-0.026,2.4349,20.2,24.3079,23.7892,22.8421,22.4621,22.2971
0.105552,-0.004,-0.0204,0.8957,5.6,25.9301,25.5377,24.6304,23.714,23.1963
0.984443,-0.0045,-0.0137,0.0,311.9,22.9485,20.838,19.8652,19.357,19.1367
0.000408195,-0.0042,-0.0124,2.7162,14.9,23.5947,23.2869,23.0889,22.8242,22.3817
0.053716,-0.0031,-0.0353,0.9771,43.6,27.0801,23.8889,22.2995,21.4749,21.1586
0.30495,-0.0043,-0.0138,0.8241,4.6,24.8679,24.5419,24.4938,24.0579,23.0947
0.00682599,-0.0023,-0.0374,1.9505,7.6,25.1792,24.8537,24.2155,23.5101,22.7451
0.318237,-0.0018,-0.0328,0.8851,4.3,,27.5306,25.4247,24.0994,23.0403
0.106794,0.0016,0.0039,0.9679,11.4,24.96,24.4136,23.5309,23.0809,22.9706
0.0340946,-0.0049,-0.0095,1.2859,26.6,24.7441,23.6048,22.5589,22.0731,21.9327
0.0198468,-0.0055,-0.0125,1.8901,24.9,24.1409,23.2882,22.4454,22.1104,21.8919
0.0135021,-0.0008,-0.0037,2.1777,13.2,24.9919,24.2816,23.245,22.7443,22.5154
0.982449,-0.0048,-0.0096,0.0,59.0,25.8841,23.4032,22.2379,21.2104,20.7516
0.0619758,-0.0029,-0.0263,1.9462,5.4,,24.838,24.3223,24.0846,23.8708
0.0415755,-0.0043,-0.0193,2.5022,53.7,26.5193,23.7049,22.199,21.2721,20.9392
0.0041503,-0.0046,-0.0176,1.6644,4.1,25.3403,24.4794,24.3969,24.0777,23.6128
0.686518,-0.0051,-0.0084,0.5085,4.9,24.2056,24.0868,24.1264,24.0183,23.557
0.181361,-0.005,-0.0138,2.2429,4.5,,26.8801,25.293,24.0645,23.2623
0.414506,-0.0068,-0.0104,1.4898,3.1,26.4366,25.4908,24.5709,24.5836,24.5252
0.582663,-0.0009,-0.0043,1.7271,3.2,25.7738,25.1076,25.0211,24.5736,24.2153
0.552538,-0.0066,-0.0501,0.8658,2.4,26.5436,25.9303,25.5219,24.5659,24.3892
0.103166,-0.0043,-0.0139,0.6121,3.8,26.4797,25.7097,24.7639,24.39,24.4832
0.0538558,-0.0002,-0.003,1.2711,6.9,24.8403,23.8874,23.6899,23.6647,23.2685
0.398901,0.003,0.0032,0.0,4.5,25.2217,24.8142,24.428,24.1272,23.7852
0.107007,-0.0023,-0.0218,1.0509,6.0,25.2541,24.1523,23.9225,23.8482,24.4393
0.352512,-0.0005,-0.0286,0.516,3.1,25.5133,25.2057,25.0687,24.6167,
0.0944239,-0.0128,-0.0147,1.3022,4.7,25.7365,25.4936,24.5081,23.8783,23.3049
0.00528343,-0.0018,-0.0054,2.0681,9.3,24.7256,23.9829,23.5201,23.2906,22.9602
0.0056668,-0.0018,-0.0314,1.576,4.7,24.5266,24.3009,24.475,24.0739,23.8378
0.00675817,-0.003,-0.0249,1.933,10.0,,24.5673,23.5904,23.285,23.6798
0.41094,-0.0039,-0.0081,0.6859,8.9,24.6094,24.3591,24.0296,23.3054,23.113
0.600501,-0.0014,-0.0311,1.429,3.2,,25.9904,24.7198,24.5905,24.2168
0.484278,-0.0025,-0.0173,0.5919,4.1,,25.5348,24.6056,24.2488,24.0979
0.0872589,-0.0073,-0.0539,0.5624,3.8,25.946,24.8175,24.7649,24.4625,23.7884
0.0694863,-0.0044,-0.0435,1.0051,3.6,25.3325,24.9897,24.9096,24.493,24.8624
0.288567,-0.0006,-0.0272,0.985,14.0,24.2837,23.8221,23.1615,22.8315,22.5462
0.0970486,-0.0046,-0.0137,1.8465,7.6,25.7542,24.7582,24.2513,23.4997,23.1697
0.0086837,-0.002,-0.0073,2.5165,17.7,23.9069,23.4427,22.9283,22.5751,22.3431
0.0770101,-0.0027,-0.0197,1.2697,4.6,25.7812,24.7737,24.5176,24.2463,24.1042
0.0266115,-0.004,-0.0409,1.5712,6.2,24.8275,24.5083,24.2625,23.7254,23.6851
0.808131,-0.0036,-0.0103,0.8231,18.4,22.9791,22.8428,22.8956,22.4865,22.4942
0.534085,-0.0039,0.0115,2.1873,4.1,,,25.7853,24.6316,23.6584
0.0539375,-0.0052,-0.009,0.8981,3.3,25.4955,25.0842,24.9808,24.427,24.2929
0.982069,-0.0043,-0.0079,0.0,66.9,24.957,22.7557,21.7069,21.0734,20.8278
0.0176615,-0.0032,-0.0135,1.3865,15.4,24.7863,24.2562,23.6985,22.729,22.7296
0.166311,-0.0063,0.0056,1.5529,3.8,25.2773,24.5746,24.4638,24.3778,24.242
0.983002,-0.0044,-0.0141,0.0,232.4,22.2553,20.6101,19.9674,19.6819,19.5383
0.983737,-0.008,-0.01,0.0,244.2,24.4944,22.1612,20.9639,19.6203,19.0325
0.984016,-0.0043,-0.0139,0.0,28.0,,24.9619,23.5684,22.0568,21.3985
0.0277404,-0.0032,-0.008,1.2186,16.2,24.6996,24.1985,23.5058,22.6312,22.1815
0.980732,0.0034,0.0019,0.0,184.3,24.815,22.555,21.3648,19.9254,19.323
0.0151849,-0.0076,-0.0064,1.7919,7.1,24.4202,24.2842,24.0037,23.6896,23.7057
0.457435,-0.0033,0.0142,1.148,3.1,25.2335,25.1596,24.8155,24.2469,24.1996
0.0204004,-0.0067,0.0051,1.1562,5.2,25.2455,24.668,24.2614,24.0964,24.1564
0.0114142,-0.0058,-0.0113,2.3329,9.5,26.2599,26.1391,24.5784,23.3189,22.3224
0.000296498,-0.0073,-0.0101,2.9481,8.0,24.5246,24.344,24.1439,23.5923,23.2383
0.982859,-0.0062,-0.013,0.0,21.5,24.0329,22.9445,22.6165,22.3531,22.2625
0.00535299,-0.0052,-0.0087,1.6896,6.2,25.8112,25.5099,24.653,23.8458,23.2269
0.0549023,-0.0052,-0.0084,1.3235,5.1,24.8987,24.7347,24.3466,24.0828,23.5206
0.559728,-0.0031,-0.019,0.592,5.1,26.9331,27.2178,25.0483,23.8782,23.4457
0.58428,-0.0019,-0.0314,1.3669,3.4,25.4513,24.7871,24.7338,24.5598,24.128
0.0155091,-0.0058,-0.0099,3.1811,19.7,24.8302,24.0103,23.057,22.4789,22.2561
0.0327578,0.0026,-0.0013,1.7239,4.6,25.5997,24.6961,24.2761,24.2605,24.2976
0.101085,-0.0028,0.0155,0.6924,6.2,25.321,25.1265,24.0523,23.6362,23.3269
0.0238288,-0.0053,-0.0089,1.3977,8.7,24.7965,24.4171,24.281,23.3772,23.1047
0.00130379,-0.0026,-0.0061,1.6994,3.2,26.3727,25.1651,24.6558,24.4975,
0.0174165,0.0025,0.0011,0.9751,3.5,24.9645,24.7464,24.614,24.4911,24.7716
0.74795,-0.0041,-0.0403,0.0,3.6,,26.5636,25.14,24.4668,24.9618
0.515809,-0.0066,-0.0103,0.5904,3.4,25.2491,25.0933,24.9436,24.5175,23.6023
0.943011,-0.0054,-0.0429,0.0,20.6,,26.0676,24.3169,22.3411,21.5896
0.85758,-0.0053,-0.0103,0.0,7.8,,25.6141,24.384,23.5053,23.2533
0.139379,-0.0039,-0.0281,1.0054,9.1,24.6437,24.2571,23.9827,23.3854,23.1532
0.00818561,-0.0063,0.0077,2.5997,12.2,,24.999,23.7948,23.009,22.5763
0.302912,-0.0056,-0.0496,1.0641,3.1,26.8224,25.9318,25.0495,24.495,24.901
0.592152,-0.0042,-0.0199,0.8275,12.0,24.4415,23.9285,23.2362,22.9913,22.4927
0.183831,0.0003,-0.0027,1.5046,4.9,25.9835,24.7415,24.2298,23.7921,23.9362
0.985732,-0.0045,-0.0176,0.0,443.7,21.195,19.7531,19.2156,18.9655,18.8377
0.0209458,-0.0009,-0.0294,2.3816,30.6,24.4618,23.649,22.9624,21.9358,21.3882
0.662049,-0.0003,-0.0247,0.4898,4.6,26.3063,25.0551,24.3307,24.1668,23.5335
0.143457,-0.0043,-0.0197,3.2539,4.9,25.4489,24.8118,24.4283,24.414,23.685
0.111232,-0.002,-0.0331,1.1085,4.6,24.9964,24.7012,24.5115,24.1829,23.7281
0.0247983,-0.0068,-0.0503,1.1683,5.1,25.409,25.1471,24.2982,23.7276,23.0242
0.0030928,-0.0041,-0.0206,1.8972,3.3,24.8629,24.691,24.5068,24.5091,25.0404
0.519754,-0.0076,-0.0126,0.4708,9.1,24.6852,24.1341,23.4794,23.2779,22.8986
0.0535221,-0.0026,-0.0336,0.9291,45.5,28.0086,23.9213,22.4319,21.3731,20.9505
0.0375039,-0.0062,-0.0134,1.0936,17.2,24.121,23.6756,22.9023,22.5451,22.443
0.980935,0.0009,-0.0023,0.0,49.0,26.3456,24.0028,22.702,21.404,20.8966
